Name,Credential Type,Credential Number,Status,Expiration Date,Disciplinary Action,Address,State,County,Phone,First Issue Date,Primary Contact Name,Primary Contact Role
MY LITTLE ANGELíS HOME DAYCARE LLC,FAMILY CARE (PROVISIONAL),2907-23,Active,7/31/23,N,"6044 RIVER BELLE ST NORTH LAS VEGAS, NV 89031",NV,CLARK,701-301-2241,4/1/21,ANGEL CHADWICK,Owner
TINY TLC CHILD CARE,GROUP CARE,1930-23,Active,2/28/24,N,"5909 IRIS AVE LAS VEGAS, NV 89107",NV,CLARK,702-201-1154,3/22/16,CHANTAI PETERSON,Owner
MOMMY'S ANGELS CHILDCARE,CENTER,2632-23,Active,4/30/24,N,"4270 S RAINBOW BLVD LAS VEGAS, NV 89103",NV,CLARK,702-201-1525,5/1/19,DARINE & NESRINE FARRAJ & ABELLA,Owner
GRANNY T'S,GROUP CARE,2353-23,Active,1/31/24,N,"9637 JERAN MILES CT LAS VEGAS, NV 89147",NV,CLARK,702-202-2508,2/7/18,DANIEL HEADWORTH,Owner
RISING STAR PRESCHOOL AND CHILDCARE,CENTER,1473-23,Active,1/31/24,N,"8889 S. EASTERN AVE., STE 160 LAS VEGAS, NV 89123",NV,CLARK,702-209-2781,2/1/15,TINA FOX,Director
FOUNDATIONS PRESCHOOL RAINBOW,CENTER (PROVISIONAL),1250-23,Active,7/31/23,N,"7625 S. RAINBOW BLVD., STE 104-106 LAS VEGAS, NV 89139",NV,CLARK,702-214-5439,7/1/16,NICOLE MINER,Other
CHARLENE RATH,FAMILY CARE,1054-23,Active,3/31/24,N,"10748 SPRUCEDALE AVE LAS VEGAS, NV 89144",NV,CLARK,702-217-7397,9/12/14,CHARLENE RATH,Director
KIDS ARE US ACADEMY,CENTER,1231-22,Active,8/31/23,N,"2760 S. JONES BLVD LAS VEGAS, NV 89146",NV,CLARK,702-220-4384,11/1/13,KIMBERLI HELAIRE-SMITH,Director
MERRYHILL PRESCHOOL - ALTA,CENTER,925-23,Active,7/31/23,N,"10050 ALTA DR LAS VEGAS, NV 89145",NV,CLARK,702-221-6337,8/1/15,LISA FITZGERALD,Director
LIFE TIME ATHLETIC,ACCOMMODATION,1316-23,Active,4/30/24,N,"10721 W. CHARLESTON BLVD LAS VEGAS, NV 89135",NV,CLARK,702-228-2611,8/1/16,ANITA HEUYARD,Person in Charge
CITY OF LAS VEGAS YOUTH DEVELOPMENT & SOCIAL INNOVATION AND THE DEPARTMENT OF PARKS & RECREATION,PERMITS,2429-21,Active,12/31/23,N,"496 SOUTH MAIN STREET LAS VEGAS, NV 89101",NV,CLARK,702-229-3399,1/27/21,JOYCE BARROW-HENDERSON,Other
MIRABELLI COMMUNITY CENTER,CENTER,1026-23,Active,3/31/24,N,"6200 HARGROVE AVE LAS VEGAS, NV 89107",NV,CLARK,702-229-6359,4/1/13,BRIDGET THOMAS,Director
PEGGY'S CHILDCARE,FAMILY CARE,3118-23,Active,4/30/24,N,"4446 MELINE AVENUE NORTH LAS VEGAS, NV 89084",NV,CLARK,702-232-7123,5/26/21,PEGGY PETER,Owner
LA PETITE ACADEMY - TECH CENTER,CENTER,1041-23,Active,1/31/24,N,"2401 TECH CENTER CT LAS VEGAS, NV 89128",NV,CLARK,702-233-1077,2/1/14,GRETCHEN LEE,Director
MOUNTAIN VIEW LUTHERAN PRESCHOOL,CENTER,1038-23,Active,1/31/24,N,"9550 W. CHEYENNE AVE LAS VEGAS, NV 89129",NV,CLARK,702-233-9323,11/1/16,DONNA EINSPAHR,Director
MITTIE IN HOME FAMILY CARE,GROUP CARE (PROVISIONAL),3422-23,Active,7/31/23,N,"3113 BUDDING BLSSOM CT LAS VEGAS, NV 89108",NV,CLARK,702-240-0403,5/26/22,CHERYL POLK,Owner
YMCA - DURANGO HILLS,CENTER,1078-23,Active,6/30/24,N,"3521 N. DURANGO DR LAS VEGAS, NV 89129",NV,CLARK,702-240-9622,5/1/16,ERICA STEGALL,Director
CASCOS FAMILY DAYCARE,GROUP CARE,1164-22,Active,9/30/23,N,"1668 GATEWAY AVE LAS VEGAS, NV 89104",NV,CLARK,702-241-9023,10/1/16,OLGA CASCOS,Owner
INTERNATIONAL CHRISTIAN ACADEMY PRESCHOOL,CENTER,1465-23,Active,12/31/23,N,"8100 WESTCLIFF DR LAS VEGAS, NV 89145",NV,CLARK,702-242-1069,7/1/18,KRISTEN KENNEDY,Director
TINKER TOWN LEARN & PLAY CENTER - SMOKE RANCH,CENTER (PROVISIONAL),892-23,Active,7/31/23,N,"6200 SMOKE RANCH RD LAS VEGAS, NV 89108",NV,CLARK,702-242-3222,3/1/17,TRENICE TAYLOR,Director
MERRYHILL PRESCHOOL - SNOW TRAIL,CENTER,967-22,Active,9/30/23,N,"2150 SNOW TRAIL LAS VEGAS, NV 89134",NV,CLARK,702-242-3230,10/1/16,ERIKA VAN RHYN,Director
KINDERCARE LEARNING CENTERS - DESERT MARIGOLD,CENTER,1253-23,Active,2/28/24,N,"3085 DESERT MARIGOLD DR LAS VEGAS, NV 89135",NV,CLARK,702-243-0033,4/1/17,"ANASTASIA, KASHMIR EDEY, SHAFER",Director
CALVARY CHAPEL PRESCHOOL SPRING VALLEY,CENTER,1266-23,Active,2/28/24,N,"7175 W. OQUENDO RD LAS VEGAS, NV 89113",NV,CLARK,702-248-8879,6/16/17,JULIE PROUD,Director
MERRYHILL PRESCHOOL - DURANGO,CENTER,1129-22,Active,7/31/23,N,"5055 S. DURANGO DR LAS VEGAS, NV 89113",NV,CLARK,702-252-3945,8/1/16,MARIA ZACCHEO,Director
CELIDA PADILLA,FAMILY CARE,1168-23,Active,3/31/24,N,"3221 MONACO SHORES DR LAS VEGAS, NV 89117",NV,CLARK,702-253-3985,4/1/17,CELIDA PADILLA,Owner
GALINA'S CHILD CARE,FAMILY CARE,1382-22,Active,10/31/23,N,"9692 SWAYING TREES DR LAS VEGAS, NV 89147",NV,CLARK,702-253-5202,11/1/14,GALINA GEREVENKO,Owner
THE MEADOWS BEGINNING SCHOOL,CENTER,921-22,Active,7/31/23,N,"8601 SCHOLAR LN LAS VEGAS, NV 89128",NV,CLARK,702-254-5220,8/1/16,SARA CARLSON,Director
CREATIVE KIDS FORT APACHE,CENTER,2195-23,Active,2/28/24,N,"2575 FORT APACHE RD. LAS VEGAS, NV 89117",NV,CLARK,702-255-0443,3/9/17,YAZMIN VALDEZ-GIRON,Director
SPRINGSTONE LAKES MONTESSORI SCHOOL,CENTER (PROVISIONAL),1400-23,Active,7/31/23,N,"2750 LAKE SAHARA DR LAS VEGAS, NV 89117",NV,CLARK,702-255-4440,7/1/14,KAMERINE ACOSTA,Director
THE DR. MIRIAM AND SHELDON G. ADELSON EDUCATIONAL INSTITUTE,CENTER,1075-23,Active,4/30/24,N,"9700 W. HILLPOINTE RD LAS VEGAS, NV 89134",NV,CLARK,702-255-4500,5/1/14,VALERIE IRIZARI,Director
THE SHENKER ACADEMY,CENTER,879-23,Active,5/31/24,N,"9001 HILLPOINTE RD LAS VEGAS, NV 89134",NV,CLARK,702-255-5437,7/1/17,SHARON KNAFO,Director
LA PETITE ACADEMY - HARBOR ISLAND,CENTER (PROVISIONAL),991-23,Active,6/30/23,N,"2121 HARBOR ISLAND DR LAS VEGAS, NV 89128",NV,CLARK,702-255-5657,11/1/13,DEANNE MCMAHAN,Person in Charge
LA PETITE ACADEMY - BOSECK,CENTER,986-23,Active,10/31/23,N,"8451 BOSECK DR LAS VEGAS, NV 89145",NV,CLARK,702-255-9252,11/1/13,CRYSTAL FROST,Director
LEAP INTO LEARNING,CENTER,1295-23,Active,11/30/23,N,"6395 E. RUSSELL RD LAS VEGAS, NV 89122",NV,CLARK,702-256-5327,2/1/15,JAMIE STEVENS,Director
CHABAD - TORAH TOTS PRESCHOOL,CENTER,1108-22,Active,8/31/23,N,"1312 VISTA DR LAS VEGAS, NV 89102",NV,CLARK,702-259-1000,10/1/13,DINA HARLIG,Director
KINDERCARE SILVERADO RANCH,CENTER,3247-23,Active,8/31/23,N,"3528 ST. ROSE PKWY HENDERSON, NV 89052",NV,CLARK,702-260-7587,9/7/21,ALEKSANDRA & KATIE LIPSKA HALLOCK & MEEKER,Director
BEAUTIFUL SAVIOR LUTHERAN PRESCHOOL,CENTER,1185-22,Active,7/31/23,N,"10265 BERMUDA RD LAS VEGAS, NV 89183",NV,CLARK,702-260-7660,11/8/16,JENNIFER HEINY,Director
SUNSHINE CHILD CARE,FAMILY CARE,1435-23,Active,4/30/24,N,"8233 STONEHEATHER CT LAS VEGAS, NV 89117",NV,CLARK,702-262-5569,5/1/14,SHAMALIE WIJEKULARATNE,Owner
THE KREATIVE MINDS DAYCARE,GROUP CARE,3392-22,Active,10/31/23,N,"6054 DOROCA ST LAS VEGAS, NV 89134",NV,CLARK,702-262-7976,11/9/22,OCTAVIA MCLAURIN,Owner
CHILDREN'S LEARNING ADVENTURE - ROBINDALE,CENTER,1152-23,Active,4/30/24,N,"6980 W. ROBINDALE RD LAS VEGAS, NV 89113",NV,CLARK,702-263-1292,5/1/17,THERESA OLPENDO,Director
CITY OF HENDERSON YOUTH PROGRAMS,PERMITS,2799-20,Active,7/31/23,N,"240 WATER STREET HENDERSON, NV 89015",NV,CLARK,702-267-4000,8/5/20,XANIE GANN,Other
ABC ETC/LITTLE LEARNERS,CENTER,411-23,Active,6/30/24,N,"500 HARRIS ST HENDERSON, NV 89015",NV,CLARK,702-267-4060,10/1/15,FELISHA AGUILAR,Director
CHILDREN'S LEARNING ADVENTURE - EASTERN,CENTER,1105-22,Active,7/31/23,N,"11183 S. EASTERN AVE HENDERSON, NV 89052",NV,CLARK,702-269-0708,8/1/15,ASHLEE NAEHU,Owner
EOS FITNESS - STEPHANIE,ACCOMMODATION,1474-23,Active,2/28/24,N,"35 S. STEPHANIE ST HENDERSON, NV 89012",NV,CLARK,702-269-0828,3/1/16,"ARGIE, NELLY REYES, ARROYO",Person in Charge
FOUNDATIONS PRESCHOOL - SOUTHERN HIGHLANDS,CENTER,2167-23,Active,3/31/24,N,"11350 SOUTHERN HIGHLANDS PKWY LAS VEGAS, NV 89141",NV,CLARK,702-269-6132,4/7/17,TAYLOR DAMELIO,Director
HENDERSON CHRISTIAN ACADEMY,CENTER,965-22,Active,8/31/23,N,"2750 ROBINDALE RD HENDERSON, NV 89074",NV,CLARK,702-270-2595,2/1/16,JAIME BUCHOLZ,Director
CREATIVE KIDS-PEBBLE,CENTER,2191-23,Active,2/28/24,N,"4855 W. PEBBLE RD. LAS VEGAS, NV 89139",NV,CLARK,702-270-7770,3/1/17,ROSALY LIZARDO,Director
BRING'EM YOUNG ACADEMY,CENTER,1508-22,Active,8/31/23,N,"3980 W. ANN RD., STE 1 NORTH LAS VEGAS, NV 89031",NV,CLARK,702-273-9684,10/1/17,GLORIA PHILLIPS,Director
"GENERATION ALPHA ACADEMY & DAYCARE, LLC",GROUP CARE,3512-23,Active,1/31/24,N,"6045 SUGAR CREEK DR NORTH LAS VEGAS, NV 89081",NV,CLARK,702-274-9023,2/15/23,HEATHER SOTO,Owner
MILESTONE ACADEMY,CENTER,3192-22,Active,11/30/23,N,"9859 W. DEER SPRINGS LAS VEGAS, NV 89149",NV,CLARK,702-275-1626,12/17/21,PENNIE AND TIFFANY DONLIN AND SLATER,Person in Charge
NCA LEARNING CENTER,CENTER,2128-23,Active,11/30/23,N,"3435 LINDELL ROAD LAS VEGAS, NV 89146",NV,CLARK,702-290-9936,2/22/17,MINLI WANG,Director
MS. GAYLE'S LITTLE SCHOOL,FAMILY CARE,3154-23,Active,4/30/24,N,"5770 HEDGEHAVEN COURT LAS VEGAS, NV 89120",NV,CLARK,702-292-8928,5/26/21,GAYLE THOMSEN,Owner
GRACE CHRISTIAN ACADEMY,CENTER,1998-22,Active,10/31/23,N,"512 CALIFORNIA AVE. BOULDER CITY, NV 89005",NV,CLARK,702-293-3536,1/27/17,SANDRA PICHE,Director
CHRISTIAN CENTER DAYCARE,CENTER (PROVISIONAL),007-23,Active,7/31/23,N,"571 ADAMS BLVD BOULDER CITY, NV 89005",NV,CLARK,702-293-7773,9/1/15,MELANIE BUDD,Director
SUNRISE CHILDREN'S FOUNDATION EARLY HEAD START - BOULDER CITY,CENTER,1116-22,Active,8/31/23,N,"100 ST. JUDE ST BOULDER CITY, NV 89005",NV,CLARK,702-293-9088,9/1/16,NICOLE POBLETE,Director
DON'S KID KASTLE,ACCOMMODATION,1505-22,Active,8/31/23,N,"1650 CASINO DR LAUGHLIN, NV 89029",NV,CLARK,702-298-2535,8/1/16,CINDY CAMPBELL,Person in Charge
LITTLE EINSTEINS MONTESSORI AND DAYCARE,GROUP CARE (PROVISIONAL),3217-23,Active,6/30/23,N,"6508 W COUGAR AVE LAS VEGAS, NV 89139",NV,CLARK,702-305-4704,6/8/22,DINUSHA NANAYAKKARA,Owner
EOS FITNESS - SAHARA,ACCOMMODATION,1988-22,Active,9/30/23,N,"8125 W. SAHARA LAS VEGAS, NV 89117",NV,CLARK,702-308-3384,10/13/16,ARGIE REYES,Person in Charge
EOS FITNESS -RUSSELL,ACCOMMODATION,2290-22,Active,11/30/23,N,"3325 E. RUSSELL RD. LAS VEGAS, NV 89120",NV,CLARK,702-308-3384,11/30/17,ARGIE REYES,Person in Charge
EOS FITNESS- BLUE DIAMOND,ACCOMMODATION,2724-22,Active,10/31/23,N,"4935 BLUE DIAMOND RD LAS VEGAS, NV 89139",NV,CLARK,702-308-3384,10/28/20,"JASMINE & ARGIE, TILLMAN & REYES",Person in Charge
